FOLIO,N_REN,SEXO,EDAD,P3_1,PA3_1,PA3_2,PA3_3_NIVEL,PA3_4,PA3_5,PA3_6,PA3_7_1,PA3_7_2,PA3_7_3,PA3_8_1,PA3_8_2,PA3_8_3,PA3_8_4,PA3_8_5,PA3_8_6,PA3_8_7,PA3_8_8,PB3_1,PB3_2,PB3_3,FILTRO_A,PB3_4,PB3_5_NIVEL,PB3_6,PB3_7,PB3_8,PB3_9_1,PB3_9_2,PB3_9_3,PB3_10_1,PB3_10_2,PB3_10_3,PB3_10_4,PB3_10_5,PB3_11_1,PB3_11_2,PB3_11_3,PB3_11_4,PB3_11_5,PB3_12_1,PB3_12_2,PB3_12_3,PB3_12_4,PB3_12_5,PB3_12_6,PB3_12_7,PB3_12_8,FILTRO_B,PB3_13_1,PB3_13_2,PB3_13_3,PB3_13_4,PB3_13_5,PB3_13_6,PB3_13_7,PB3_14,PB3_15,PB3_16_1,PB3_16_2,PB3_16_3,PB3_16_4,PB3_16_5,ENT,NIVEL_A,GRADO_A,NIVEL_B,GRADO_B,FACTOR
2,1,1,13,2,1,1,3,1,,3,2,,,1,1,2,2,1,2,2,2,1,,1,2,,3,3,,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,7,1,2,2,2,2,24,3,6,3,1,809
2,2,2,19,2,1,1,9,1,,3,1,2,2,1,1,2,2,1,2,2,2,1,,1,2,,8,3,,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,1,2,2,2,2,24,9,1,8,2,809
7,1,2,8,2,1,1,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,1,2,,2,3,,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,40,7,1,2,1,2,2,22,3,2,2,3,722
7,2,1,26,7,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,722
9,1,1,27,1,1,2,9,1,,3,2,2,2,1,1,2,2,1,1,2,2,1,,2,2,,8,1,4,,1,9,9,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,,,,,,,,,,2,2,2,2,1,26,9,1,8,2,425
11,1,2,24,10,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,584
14,1,1,4,1,2,,,,,,,,,,,,,,,,,1,,1,2,,1,2,12,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,15,8,1,1,1,1,2,18,,,1,2,413
14,2,1,11,1,1,2,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,2,2,,2,1,20,,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,5,8,2,2,2,2,1,18,3,5,2,6,413
14,3,2,19,1,1,1,9,1,,3,2,2,2,1,1,2,2,2,2,2,2,1,,1,2,,8,3,,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,1,2,2,2,2,18,9,1,8,2,413
15,2,1,21,1,1,1,9,1,,3,2,2,2,1,1,2,2,2,2,2,2,1,,1,2,,8,3,,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,2,2,2,2,1,18,9,2,8,3,322
15,1,2,13,1,1,1,4,1,,3,2,2,2,1,2,2,2,2,2,2,2,1,,1,2,,3,1,10,,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,7,2,2,2,2,1,18,4,1,3,2,322
19,2,2,21,6,2,,,,,,,,,,,,,,,,,1,,1,2,,8,3,,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,,1,2,2,2,2,27,,,8,9,450
19,1,2,19,6,1,1,9,1,,3,2,2,2,1,2,2,1,1,2,2,2,1,,1,2,,8,3,,1,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,1,2,2,2,2,27,9,1,8,1,450
21,1,1,8,6,1,1,3,1,,3,1,,,1,1,1,2,2,2,2,2,1,,1,2,,2,2,16,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,5,7,2,2,2,2,1,26,3,2,2,3,945
21,3,1,14,6,1,1,4,1,,3,2,2,2,1,1,1,1,1,2,2,2,1,,1,2,,3,3,,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,7,7,2,2,2,2,1,26,4,2,3,3,945
21,2,2,14,6,1,1,4,1,,3,2,2,2,1,1,1,2,1,2,2,2,1,,1,2,,3,1,20,,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,26,4,2,3,3,945
22,2,2,9,1,1,2,3,1,,3,1,,,1,2,2,2,2,2,2,2,1,,2,2,,2,3,,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,15,7,2,2,2,2,1,11,3,3,2,4,1823
22,1,2,5,1,1,2,2,1,,4,,,,2,2,2,1,2,2,2,2,1,,2,2,,2,3,,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,15,7,2,2,2,2,1,11,2,3,2,1,1823
24,1,1,16,2,1,2,7,1,,2,1,1,2,2,1,2,1,2,2,2,2,1,,2,2,,5,1,20,,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,,8,2,2,1,1,2,16,7,1,5,2,1017
25,2,1,26,7,1,1,9,1,,3,9,9,9,1,1,1,1,1,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,9,5,,,296
25,3,2,26,8,1,1,9,1,,3,9,9,9,1,1,1,1,1,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,9,5,,,296
25,1,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,296
26,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,595
28,3,2,15,2,1,1,4,1,,3,2,2,2,1,1,1,1,1,1,2,2,1,,2,1,3,3,2,12,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,9,4,2,3,3,3941
28,2,1,15,2,1,1,4,1,,3,2,2,2,1,2,2,2,1,1,2,2,1,,2,1,3,3,2,12,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,2,2,2,2,2,1,9,4,2,3,3,3941
