FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_5,P4_1_1,P4_1_2,P4_1_3,ENT
1,1,1,0,2,,,,,,,,,,,1
2,4,2,2,1,1,1,1,1,1,1,,1,1,1,24
3,2,0,2,2,,,,,,,,,,,2
4,1,0,1,2,,,,,,,,,,,9
5,2,1,1,2,,,,,,,,,,,5
6,4,3,1,2,,,,,,,,,,,29
7,7,3,4,1,2,2,1,2,1,1,,2,2,3,22
8,1,1,0,2,,,,,,,,,,,24
9,5,3,2,1,1,1,1,1,1,1,,1,1,1,26
10,3,2,1,2,,,,,,,,,,,6
11,4,2,2,1,1,1,1,2,1,1,,2,1,2,26
12,2,1,1,2,,,,,,,,,,,21
13,2,1,1,2,,,,,,,,,,,24
14,5,3,2,1,2,1,1,1,1,1,,2,2,1,18
15,4,2,2,1,2,1,2,2,1,1,,1,1,1,18
16,1,0,1,2,,,,,,,,,,,28
17,1,0,1,2,,,,,,,,,,,6
18,2,1,1,2,,,,,,,,,,,32
19,5,1,4,1,2,1,1,2,1,1,,2,2,1,27
20,2,1,1,2,,,,,,,,,,,2
21,7,4,3,1,2,1,1,1,1,1,,1,1,1,26
22,4,1,3,1,1,1,1,1,1,1,,4,1,1,11
23,2,1,1,2,,,,,,,,,,,32
24,3,2,1,1,1,1,1,1,1,1,,1,1,1,16
25,5,2,3,1,2,1,2,2,1,1,,1,2,2,29
26,5,3,2,1,2,2,1,2,1,2,2,2,2,2,26
27,1,0,1,2,,,,,,,,,,,16
28,5,2,3,1,2,1,1,2,1,1,,2,1,2,9
29,6,3,3,1,2,2,1,2,1,2,1,1,1,2,26
30,4,2,2,1,1,1,1,1,1,1,,1,1,2,16
31,2,1,1,2,,,,,,,,,,,3
32,6,3,3,1,2,2,1,2,1,1,,2,2,2,15
33,4,2,2,1,2,2,1,1,1,1,,1,1,1,2
34,1,0,1,2,,,,,,,,,,,24
35,2,1,1,2,,,,,,,,,,,16
36,2,1,1,2,,,,,,,,,,,30
37,3,2,1,1,1,1,1,1,1,1,,1,1,1,25
38,1,0,1,1,2,1,2,2,1,1,,2,1,2,6
39,2,1,1,2,,,,,,,,,,,7
40,2,0,2,1,2,1,1,2,1,1,,1,1,1,30
41,4,1,3,1,2,2,1,2,1,2,7,1,1,2,22
42,3,2,1,1,2,1,1,2,1,1,,1,1,2,26
43,4,2,2,1,2,1,1,2,1,1,,1,3,3,28
44,3,2,1,1,2,2,1,1,1,1,,1,1,1,25
45,3,1,2,1,2,2,2,2,1,2,1,2,2,2,32
46,3,2,1,1,2,1,1,2,2,1,,1,1,1,7
47,1,1,0,2,,,,,,,,,,,3
48,1,1,0,2,,,,,,,,,,,2
49,2,1,1,1,2,2,1,2,1,2,9,4,4,3,2
50,2,1,1,2,,,,,,,,,,,9
51,5,2,3,1,1,1,1,2,1,1,,1,1,3,18
52,5,4,1,1,1,1,1,1,1,1,,1,1,1,29
53,5,2,3,1,2,2,1,1,1,1,,2,3,3,6
54,7,4,3,1,2,2,1,2,1,2,1,1,1,1,18
55,1,1,0,2,,,,,,,,,,,32
56,3,2,1,2,,,,,,,,,,,26
57,3,1,2,1,1,1,1,1,1,1,,1,2,2,9
58,4,2,2,1,2,2,1,2,1,2,1,1,1,1,20
59,3,1,2,1,2,2,2,2,1,2,1,2,3,2,20
60,3,2,1,2,,,,,,,,,,,31
61,2,1,1,1,2,1,1,2,1,1,,3,3,4,31
62,2,1,1,2,,,,,,,,,,,30
63,1,0,1,2,,,,,,,,,,,25
64,4,2,2,1,2,1,1,1,1,1,,1,1,1,24
65,5,2,3,1,1,2,1,2,1,2,4,1,2,2,20
66,1,1,0,2,,,,,,,,,,,2
67,3,2,1,2,,,,,,,,,,,26
68,5,2,3,1,2,1,1,2,1,1,,1,1,1,1
69,6,4,2,1,2,2,2,2,1,2,6,1,1,1,8
70,3,1,2,2,,,,,,,,,,,15
71,3,1,2,2,,,,,,,,,,,13
72,5,1,4,2,,,,,,,,,,,5
73,2,1,1,2,,,,,,,,,,,15
74,2,1,1,1,2,1,1,2,1,2,7,1,1,1,23
75,8,3,5,2,,,,,,,,,,,1
76,3,2,1,1,2,2,1,1,1,1,,1,2,2,23
77,4,2,2,1,2,1,1,2,1,1,,1,1,2,9
78,3,2,1,1,2,1,1,1,1,1,,2,2,2,16
79,4,3,1,1,2,1,1,1,1,1,,1,1,1,5
80,4,3,1,1,2,2,1,2,1,1,,2,2,2,6
81,3,2,1,2,,,,,,,,,,,24
82,4,3,1,1,2,1,1,2,1,1,,1,1,1,1
83,7,2,5,1,2,2,1,2,1,1,,1,1,1,17
84,4,2,2,2,,,,,,,,,,,24
85,4,2,2,1,2,2,1,2,1,1,,1,1,2,18
86,3,1,2,1,2,1,1,2,1,1,,2,1,3,2
87,2,1,1,2,,,,,,,,,,,21
88,2,1,1,1,2,2,2,2,1,1,,3,3,4,8
89,1,1,0,2,,,,,,,,,,,14
90,1,0,1,2,,,,,,,,,,,14
91,5,1,4,1,2,1,1,1,1,1,,1,1,4,10
92,4,1,3,1,2,1,1,2,1,1,,1,1,3,24
93,3,2,1,1,1,1,1,2,1,1,,1,1,1,6
94,2,1,1,2,,,,,,,,,,,6
95,5,1,4,1,1,1,1,2,1,1,,1,2,2,27
96,3,1,2,1,1,2,1,2,1,1,,2,2,2,27
97,2,1,1,1,2,2,2,2,2,1,,4,4,1,32
98,2,1,1,2,,,,,,,,,,,3
99,3,2,1,1,2,2,1,2,1,1,,1,1,1,27
100,5,2,3,1,2,2,1,2,1,1,,3,3,3,11
101,4,2,2,2,,,,,,,,,,,13
102,2,1,1,2,,,,,,,,,,,22
103,3,2,1,1,2,1,1,1,1,1,,1,1,1,32
104,1,1,0,2,,,,,,,,,,,30
105,2,1,1,2,,,,,,,,,,,27
106,4,2,2,1,2,2,1,1,1,1,,1,1,2,7
107,2,1,1,2,,,,,,,,,,,28
108,5,3,2,2,,,,,,,,,,,14
109,3,0,3,2,,,,,,,,,,,17
110,1,1,0,1,2,2,1,2,1,1,,1,1,2,7
111,1,0,1,2,,,,,,,,,,,30
112,4,2,2,2,,,,,,,,,,,23
113,1,0,1,2,,,,,,,,,,,17
114,3,2,1,1,2,1,1,2,1,1,,1,1,2,7
