nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio","8","C","folio","","00000001...00022719"
"Pregunta P1.1 ¿Cuántas personas viven normalmente en su vivienda contando a niñas o niños pequeños, personas mayores o con discapacidad?","2","C","p1_1","","01...20"
"Pregunta P1.2.1 De estas personas, ¿cuántas son hombres?","2","C","p1_2_1","","00...12"
"Pregunta P1.2.2 De estas personas, ¿cuántas son mujeres?","2","C","p1_2_2","","00...12"
"Pregunta P1.3 ¿En su vivienda hay personas con edad entre 0 a 29 años?","1","C","p1_3","p1_3","1,2"
"Pregunta P1.4.1 ¿Actualmente en su vivienda disponen de computadora de escritorio?","1","C","p1_4_1","p1_4_1","1,2"
"Pregunta P1.4.2 ¿Actualmente en su vivienda disponen de computadora portátil (laptop o notebook)?","1","C","p1_4_2","p1_4_2","1,2"
"Pregunta P1.4.3 ¿Actualmente en su vivienda disponen de televisión digital (pantalla plana)?","1","C","p1_4_3","p1_4_3","1,2"
"Pregunta P1.4.4 ¿Actualmente en su vivienda disponen de tablet (pantalla táctil)?","1","C","p1_4_4","p1_4_4","1,2"
"Pregunta P1.4.5 ¿Actualmente en su vivienda disponen de celular inteligente (Smartphone)?","1","C","p1_4_5","p1_4_5","1,2"
"Pregunta P1.4.6 ¿Actualmente en su vivienda disponen de conexión a internet fijo?","1","C","p1_4_6","p1_4_6","1,2"
"Pregunta P1.5 ¿Por qué no disponen de internet fijo en la vivienda?","2","C","p1_5","p1_5","01...09,99"
"Pregunta P4.1.1 ¿Qué tan de acuerdo se encuentra con las siguientes frases: Mientras más escolaridad tenga una persona, tendrá mayor posibilidad de mejorar su nivel de vida","1","C","p4_1_1","p4_1_1","1...4,9"
"Pregunta P4.1.2 ¿Qué tan de acuerdo se encuentra con las siguientes frases: Las personas que continúan estudiando tienen mejores oportunidades de trabajo","1","C","p4_1_2","p4_1_2","1...4,9"
"Pregunta P4.1.3 ¿Qué tan de acuerdo se encuentra con las siguientes frases: Tener más años de estudio, sirve para que las personas puedan tomar mejores decisiones para su vida","1","C","p4_1_3","p4_1_3","1...4,9"
"Entidad","2","C","ent","ent","01...32"
"Factor de expansión","5","C","factor","","11...34401"
