FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P4_1_1,P4_1_2,P4_1_3,ENT,FACTOR
1,1,1,0,2,,,,,,,,,,1,925
2,4,2,2,1,1,1,1,1,1,1,1,1,1,24,809
3,2,0,2,2,,,,,,,,,,2,1248
4,1,0,1,2,,,,,,,,,,9,8713
5,2,1,1,2,,,,,,,,,,5,1292
6,4,3,1,2,,,,,,,,,,29,110
7,7,3,4,1,2,2,1,2,1,1,2,2,3,22,722
8,1,1,0,2,,,,,,,,,,24,1565
9,5,3,2,1,1,1,1,1,1,1,1,1,1,26,425
10,3,2,1,2,,,,,,,,,,6,166
11,4,2,2,1,1,1,1,2,1,1,2,1,2,26,584
12,2,1,1,2,,,,,,,,,,21,1468
13,2,1,1,2,,,,,,,,,,24,800
14,5,3,2,1,2,1,1,1,1,1,2,2,1,18,413
15,4,2,2,1,2,1,2,2,1,1,1,1,1,18,322
16,1,0,1,2,,,,,,,,,,28,3731
17,1,0,1,2,,,,,,,,,,6,416
18,2,1,1,2,,,,,,,,,,32,324
19,5,1,4,1,2,1,1,2,1,1,2,2,1,27,450
20,2,1,1,2,,,,,,,,,,2,1154
21,7,4,3,1,2,1,1,1,1,1,1,1,1,26,945
22,4,1,3,1,1,1,1,1,1,1,4,1,1,11,1823
23,2,1,1,2,,,,,,,,,,32,324
24,3,2,1,1,1,1,1,1,1,1,1,1,1,16,1017
25,5,2,3,1,2,1,2,2,1,1,1,2,2,29,296
26,5,3,2,1,2,2,1,2,1,2,2,2,2,26,595
27,1,0,1,2,,,,,,,,,,16,2252
28,5,2,3,1,2,1,1,2,1,1,2,1,2,9,3941
29,6,3,3,1,2,2,1,2,1,2,1,1,2,26,1236
30,4,2,2,1,1,1,1,1,1,1,1,1,2,16,1835
31,2,1,1,2,,,,,,,,,,3,253
32,6,3,3,1,2,2,1,2,1,1,2,2,2,15,8270
33,4,2,2,1,2,2,1,1,1,1,1,1,1,2,931
34,1,0,1,2,,,,,,,,,,24,1587
35,2,1,1,2,,,,,,,,,,16,1104
36,2,1,1,2,,,,,,,,,,30,2651
37,3,2,1,1,1,1,1,1,1,1,1,1,1,25,1229
38,1,0,1,1,2,1,2,2,1,1,2,1,2,6,645
39,2,1,1,2,,,,,,,,,,7,1217
40,2,0,2,1,2,1,1,2,1,1,1,1,1,30,3599
41,4,1,3,1,2,2,1,2,1,2,1,1,2,22,848
42,3,2,1,1,2,1,1,2,1,1,1,1,2,26,1300
43,4,2,2,1,2,1,1,2,1,1,1,3,3,28,1405
44,3,2,1,1,2,2,1,1,1,1,1,1,1,25,1079
45,3,1,2,1,2,2,2,2,1,2,2,2,2,32,418
46,3,2,1,1,2,1,1,2,2,1,1,1,1,7,1312
47,1,1,0,2,,,,,,,,,,3,488
48,1,1,0,2,,,,,,,,,,2,2389
49,2,1,1,1,2,2,1,2,1,2,4,4,3,2,2246
50,2,1,1,2,,,,,,,,,,9,4378
51,5,2,3,1,1,1,1,2,1,1,1,1,3,18,275
52,5,4,1,1,1,1,1,1,1,1,1,1,1,29,297
53,5,2,3,1,2,2,1,1,1,1,2,3,3,6,259
54,7,4,3,1,2,2,1,2,1,2,1,1,1,18,1056
55,1,1,0,2,,,,,,,,,,32,696
56,3,2,1,2,,,,,,,,,,26,572
57,3,1,2,1,1,1,1,1,1,1,1,2,2,9,6242
58,4,2,2,1,2,2,1,2,1,2,1,1,1,20,460
59,3,1,2,1,2,2,2,2,1,2,2,3,2,20,901
60,3,2,1,2,,,,,,,,,,31,555
61,2,1,1,1,2,1,1,2,1,1,3,3,4,31,992
62,2,1,1,2,,,,,,,,,,30,2651
63,1,0,1,2,,,,,,,,,,25,1899
64,4,2,2,1,2,1,1,1,1,1,1,1,1,24,1227
65,5,2,3,1,1,2,1,2,1,2,1,2,2,20,718
66,1,1,0,2,,,,,,,,,,2,2389
67,3,2,1,2,,,,,,,,,,26,572
68,5,2,3,1,2,1,1,2,1,1,1,1,1,1,569
69,6,4,2,1,2,2,2,2,1,2,1,1,1,8,1765
70,3,1,2,2,,,,,,,,,,15,2960
71,3,1,2,2,,,,,,,,,,13,666
72,5,1,4,2,,,,,,,,,,5,445
73,2,1,1,2,,,,,,,,,,15,4670
74,2,1,1,1,2,1,1,2,1,2,1,1,1,23,1599
75,8,3,5,2,,,,,,,,,,1,79
76,3,2,1,1,2,2,1,1,1,1,1,2,2,23,934
77,4,2,2,1,2,1,1,2,1,1,1,1,2,9,3662
78,3,2,1,1,2,1,1,1,1,1,2,2,2,16,1490
79,4,3,1,1,2,1,1,1,1,1,1,1,1,5,1455
80,4,3,1,1,2,2,1,2,1,1,2,2,2,6,187
81,3,2,1,2,,,,,,,,,,24,538
82,4,3,1,1,2,1,1,2,1,1,1,1,1,1,794
83,7,2,5,1,2,2,1,2,1,1,1,1,1,17,600
84,4,2,2,2,,,,,,,,,,24,413
85,4,2,2,1,2,2,1,2,1,1,1,1,2,18,353
86,3,1,2,1,2,1,1,2,1,1,2,1,3,2,1434
87,2,1,1,2,,,,,,,,,,21,1468
88,2,1,1,1,2,2,2,2,1,1,3,3,4,8,1749
89,1,1,0,2,,,,,,,,,,14,5551
90,1,0,1,2,,,,,,,,,,14,5722
91,5,1,4,1,2,1,1,1,1,1,1,1,4,10,742
92,4,1,3,1,2,1,1,2,1,1,1,1,3,24,1277
93,3,2,1,1,1,1,1,2,1,1,1,1,1,6,203
94,2,1,1,2,,,,,,,,,,6,228
95,5,1,4,1,1,1,1,2,1,1,1,2,2,27,581
96,3,1,2,1,1,2,1,2,1,1,2,2,2,27,647
97,2,1,1,1,2,2,2,2,2,1,4,4,1,32,680
98,2,1,1,2,,,,,,,,,,3,253
99,3,2,1,1,2,2,1,2,1,1,1,1,1,27,1012
100,5,2,3,1,2,2,1,2,1,1,3,3,3,11,2178
101,4,2,2,2,,,,,,,,,,13,493
102,2,1,1,2,,,,,,,,,,22,798
103,3,2,1,1,2,1,1,1,1,1,1,1,1,32,257
104,1,1,0,2,,,,,,,,,,30,5920
105,2,1,1,2,,,,,,,,,,27,585
106,4,2,2,1,2,2,1,1,1,1,1,1,2,7,1375
107,2,1,1,2,,,,,,,,,,28,1726
108,5,3,2,2,,,,,,,,,,14,1572
109,3,0,3,2,,,,,,,,,,17,240
110,1,1,0,1,2,2,1,2,1,1,1,1,2,7,2992
111,1,0,1,2,,,,,,,,,,30,5568
112,4,2,2,2,,,,,,,,,,23,495
113,1,0,1,2,,,,,,,,,,17,1248
114,3,2,1,1,2,1,1,2,1,1,1,1,2,7,1379
115,4,2,2,1,1,2,1,2,1,1,1,1,1,19,2546
116,4,2,2,1,2,1,1,1,1,1,1,2,3,6,221
117,1,0,1,2,,,,,,,,,,12,1925
118,4,1,3,1,1,1,1,1,1,1,1,1,2,4,246
119,4,2,2,1,2,2,2,2,2,1,2,1,2,12,859
120,1,0,1,2,,,,,,,,,,18,507
121,1,1,0,2,,,,,,,,,,1,925
122,1,1,0,2,,,,,,,,,,32,696
123,1,1,0,2,,,,,,,,,,12,2010
124,6,5,1,1,2,2,1,1,1,2,1,1,1,25,2259
125,4,1,3,1,2,2,1,2,1,1,1,1,1,21,1745
126,1,0,1,2,,,,,,,,,,8,2474
127,7,4,3,1,2,2,2,2,1,1,2,2,2,6,541
128,4,2,2,1,2,1,1,2,1,1,1,1,1,12,1328
129,4,2,2,1,2,1,1,2,1,1,1,1,1,30,6465
130,3,1,2,1,2,2,1,2,1,2,2,1,2,23,963
131,7,1,6,1,2,2,2,2,2,2,9,9,9,7,410
132,6,4,2,1,2,2,2,2,1,1,1,1,1,12,882
133,4,3,1,1,2,1,1,1,1,1,1,1,1,24,987
134,4,2,2,1,2,1,1,1,1,1,1,1,1,12,1040
135,5,2,3,1,1,1,1,2,1,1,1,1,1,11,5303
136,1,0,1,2,,,,,,,,,,21,3397
137,1,1,0,2,,,,,,,,,,14,5551
138,6,3,3,1,1,2,1,2,1,1,2,1,2,15,3500
139,6,4,2,1,2,2,2,2,1,1,1,1,1,11,3664
140,7,5,2,2,,,,,,,,,,2,202
141,5,1,4,2,,,,,,,,,,32,105
142,2,1,1,2,,,,,,,,,,23,982
143,10,3,7,2,,,,,,,,,,20,39
144,1,1,0,2,,,,,,,,,,2,2389
145,2,2,0,2,,,,,,,,,,21,1374
146,4,2,2,1,1,2,1,2,1,1,2,2,2,27,602
147,3,1,2,1,2,2,1,2,1,1,1,2,1,3,274
148,1,1,0,2,,,,,,,,,,2,2389
149,5,3,2,1,2,1,1,2,1,1,1,1,1,15,4507
150,4,1,3,1,2,2,1,2,1,1,2,2,2,24,739
151,4,3,1,1,2,2,1,2,1,2,2,2,3,6,216
152,2,1,1,2,,,,,,,,,,28,1726
153,3,0,3,1,2,1,2,2,1,1,1,1,4,26,1060
154,1,0,1,2,,,,,,,,,,17,1248
155,5,4,1,2,,,,,,,,,,31,358
156,2,1,1,2,,,,,,,,,,3,253
157,2,0,2,1,2,2,1,2,1,1,2,2,3,1,662
158,2,1,1,2,,,,,,,,,,29,288
159,1,0,1,2,,,,,,,,,,1,948
160,4,2,2,2,,,,,,,,,,14,1829
161,2,1,1,2,,,,,,,,,,16,1104
162,5,3,2,1,2,2,1,2,1,2,1,1,2,23,714
163,3,1,2,1,2,1,1,2,1,1,1,1,1,9,6005
164,6,3,3,1,1,2,1,2,1,1,2,3,2,29,451
165,4,3,1,1,1,1,1,2,1,1,1,2,1,29,227
166,2,1,1,2,,,,,,,,,,16,1104
167,5,2,3,2,,,,,,,,,,12,204
168,3,2,1,1,2,1,1,1,1,1,3,2,4,3,237
169,1,0,1,2,,,,,,,,,,11,3641
170,3,0,3,2,,,,,,,,,,8,729
171,3,2,1,1,2,2,1,2,1,1,1,1,1,2,1353
172,3,2,1,1,1,1,1,2,1,1,1,1,1,26,862
173,1,0,1,2,,,,,,,,,,19,4625
174,6,4,2,1,2,1,2,2,1,2,1,1,1,13,1602
175,6,2,4,1,2,1,1,2,1,1,1,1,2,9,6769
176,2,0,2,2,,,,,,,,,,12,804
177,6,4,2,1,2,1,1,1,1,1,1,1,1,20,263
178,3,1,2,1,2,2,2,2,1,2,1,1,2,15,4268
179,7,4,3,1,2,2,1,2,1,1,1,1,1,13,2828
180,5,1,4,1,1,2,1,2,1,1,1,1,1,25,1213
181,7,4,3,2,,,,,,,,,,25,504
182,5,1,4,2,,,,,,,,,,7,385
183,4,2,2,1,2,2,1,2,1,1,1,1,1,14,4733
184,5,2,3,1,2,2,1,2,1,1,2,2,3,1,430
185,3,2,1,2,,,,,,,,,,20,411
186,1,1,0,2,,,,,,,,,,15,9827
187,4,3,1,1,2,2,1,2,1,1,1,1,1,5,1980
188,3,1,2,2,,,,,,,,,,29,176
189,4,2,2,2,,,,,,,,,,14,1829
190,4,2,2,1,1,2,1,2,1,1,2,2,2,28,2191
191,7,4,3,1,2,2,1,2,1,1,1,1,1,11,1582
192,4,2,2,1,1,1,1,2,1,1,1,1,1,14,3468
193,3,1,2,1,2,1,1,2,1,1,1,1,1,8,1047
194,6,3,3,1,2,1,1,2,1,1,2,2,1,1,633
195,3,1,2,1,2,1,1,2,1,1,1,1,1,21,1440
196,6,2,4,1,2,2,1,2,1,2,1,1,1,24,814
197,5,4,1,2,,,,,,,,,,31,358
198,2,1,1,2,,,,,,,,,,5,1292
199,4,3,1,1,2,1,1,2,1,1,1,1,1,12,732
200,7,4,3,1,1,2,1,2,1,1,1,1,2,29,779
201,5,2,3,1,2,1,1,2,1,1,1,1,2,6,213
202,5,3,2,1,2,2,1,2,1,2,1,1,1,31,593
203,5,3,2,1,2,2,1,2,1,2,1,1,1,15,4844
204,4,3,1,1,2,1,1,2,1,2,2,3,2,27,590
205,4,1,3,1,2,1,1,1,1,1,1,1,1,25,3350
206,4,3,1,1,2,1,1,1,1,1,1,1,1,27,322
207,2,0,2,2,,,,,,,,,,1,452
208,2,1,1,2,,,,,,,,,,6,228
209,2,1,1,2,,,,,,,,,,31,804
210,4,1,3,1,2,1,1,2,1,1,1,1,1,14,3285
211,2,1,1,2,,,,,,,,,,8,1261
212,7,3,4,2,,,,,,,,,,14,1377
213,3,1,2,2,,,,,,,,,,10,332
214,2,1,1,2,,,,,,,,,,31,804
215,2,1,1,2,,,,,,,,,,18,281
216,4,3,1,1,2,2,2,2,1,1,2,3,1,20,1250
217,5,1,4,1,2,2,1,2,1,2,1,1,1,2,2387
